,Missed batch
0,3644 - I1 - B5
1,3644 - I1 - B8
2,3644 - I1 - B12
3,3644 - I1 - B38
4,3441 - I1 - B8
5,3441 - I1 - B26
6,3441 - I1 - B27
7,3441 - I1 - B45
8,3441 - I1 - B61
9,280 - I1 - B29
10,280 - I1 - B30
11,280 - I1 - B38
12,280 - I1 - B58
13,280 - I1 - B60
14,5991 - I1 - B8
15,7917 - I1 - B7
16,7917 - I1 - B20
17,7917 - I1 - B22
18,7917 - I1 - B46
19,7917 - I1 - B61
20,3644 - I1 - B5
21,3644 - I1 - B26
22,3644 - I1 - B39
23,3644 - I1 - B55
24,3441 - I1 - B22
25,3441 - I1 - B29
26,280 - I1 - B1
27,280 - I1 - B33
28,280 - I1 - B42
29,280 - I1 - B54
30,5991 - I1 - B32
31,5991 - I1 - B43
32,7917 - I1 - B1
33,7917 - I1 - B12
34,7917 - I1 - B32
