unique_id,text,PRINCIPLE_x,TOPIC_x,UNIT_x,SHAPE_x,llm_query,PRINCIPLE_y,TOPIC_y,UNIT_y,SHAPE_y,iteration
0,  The U.S. has led the way in the relief effort just as we typically do.,not evaluated,not evaluated,not evaluated,not evaluated,"0   The U.S. has led the way in the relief effort just as we typically do.
",not evaluated,not evaluated,not evaluated,not evaluated,1
1,"Inthe past 10 years, the U.S. has contributed $30 billion out of a worldwidetotal of $90 billion in humanitarian assistance for disasters of all kinds.",not evaluated,not evaluated,not evaluated,not evaluated,"1 Inthe past 10 years, the U.S. has contributed $30 billion out of a worldwidetotal of $90 billion in humanitarian assistance for disasters of all kinds.
",not evaluated,not evaluated,not evaluated,not evaluated,1
2,"  Of course, scientists dont know that climate change produced TyphoonHaiyan, but it is just the kind of thing we can expect more of in a worldwhere our climate is rapidly changing and it reminds us that thecorresponding impacts have the potential to be fundamentally disruptiveto our world and the world we hope to leave to our children andgrandchildren.",not evaluated,not evaluated,not evaluated,not evaluated,"2   Of course, scientists dont know that climate change produced TyphoonHaiyan, but it is just the kind of thing we can expect more of in a worldwhere our climate is rapidly changing and it reminds us that thecorresponding impacts have the potential to be fundamentally disruptiveto our world and the world we hope to leave to our children andgrandchildren.
",utilitarian,urgency,not indicated,not indicated,1
3,  It is for this reason that President Obama and the U.S. government arehard at work to help solve our shared climate challenge.,not evaluated,not evaluated,not evaluated,not evaluated,"3   It is for this reason that President Obama and the U.S. government arehard at work to help solve our shared climate challenge.
",general normative statement,cooperation,responsibility,not indicated,1
4,"  Last June, President Obama announced the U.S. Climate Action Plan toaddress climate change at home and abroad.",not evaluated,not evaluated,not evaluated,not evaluated,"4   Last June, President Obama announced the U.S. Climate Action Plan toaddress climate change at home and abroad.
",not evaluated,not evaluated,not evaluated,not evaluated,1
5,"  We have issued important draft regulations on carbon pollution fromnew power plants in the United States, and are hard at work developingregulations that will cover existing power plants as well.",not evaluated,not evaluated,not evaluated,not evaluated,"5   We have issued important draft regulations on carbon pollution fromnew power plants in the United States, and are hard at work developingregulations that will cover existing power plants as well.
",not evaluated,not evaluated,not evaluated,not evaluated,1
6,  President Obama has also issued landmark rules for vehicles.,not evaluated,not evaluated,not evaluated,not evaluated,"6   President Obama has also issued landmark rules for vehicles.
",not evaluated,not evaluated,not evaluated,not evaluated,1
7,Fuelefficiency standards for cars and light trucks are doubling from 27 milesper gallon to over 54 miles per gallon over the space of about a dozenyears.,not evaluated,not evaluated,not evaluated,not evaluated,"7 Fuelefficiency standards for cars and light trucks are doubling from 27 milesper gallon to over 54 miles per gallon over the space of about a dozenyears.
",not evaluated,not evaluated,not evaluated,not evaluated,1
8,A strengthening of standards is also in the works for heavy-dutyvehicles.,not evaluated,not evaluated,not evaluated,not evaluated,"8 A strengthening of standards is also in the works for heavy-dutyvehicles.
",not evaluated,not evaluated,not evaluated,not evaluated,1
9,"  These are large-scale efforts, with power and transportation togetheraccounting for about two-thirds of total U.S. energy emissions.",not evaluated,not evaluated,not evaluated,not evaluated,"9   These are large-scale efforts, with power and transportation togetheraccounting for about two-thirds of total U.S. energy emissions.
",not evaluated,not evaluated,not evaluated,not evaluated,1
10,"  Having doubled renewable energy production in the Presidents firstterm, were doubling it again between now and 2020, and were rampingup even further our substantial energy efficiency efforts.",not evaluated,not evaluated,not evaluated,not evaluated,"10   Having doubled renewable energy production in the Presidents firstterm, were doubling it again between now and 2020, and were rampingup even further our substantial energy efficiency efforts.
",not evaluated,not evaluated,not evaluated,not evaluated,1
11,"  All in all, were making good progress toward meeting our commitmentto reduce emissions in the range of 17 percent by 2020 from 2005 levels.",not evaluated,not evaluated,not evaluated,not evaluated,"11   All in all, were making good progress toward meeting our commitmentto reduce emissions in the range of 17 percent by 2020 from 2005 levels.
",not evaluated,not evaluated,not evaluated,not evaluated,1
12,"  The U.S. also continues to play an important role in climate finance,increasing our assistance to $2.7 billion in fiscal year 2013 andconvening donor countries to develop coordinated strategies to meetingthe $100 billion long-term finance goal.",not evaluated,not evaluated,not evaluated,not evaluated,"12   The U.S. also continues to play an important role in climate finance,increasing our assistance to $2.7 billion in fiscal year 2013 andconvening donor countries to develop coordinated strategies to meetingthe $100 billion long-term finance goal.
",egalitarian,financial mechanisms,financial resources,proportional to commitment,1
13,"•  Simultaneously, we are fully engaged in crafting a new internationalclimate agreement for the post-2020 period that is ambitious, effective,and durable.",not evaluated,not evaluated,not evaluated,not evaluated,"13 •  Simultaneously, we are fully engaged in crafting a new internationalclimate agreement for the post-2020 period that is ambitious, effective,and durable.
",general normative statement,new UNFCCC policy,not indicated,not indicated,1
14,We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.,egalitarian,new UNFCCC policy,responsibility,equality,"14 We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.
",egalitarian,new UNFCCC policy,responsibility,equality,1
15,"•  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.",utilitarian,UNFCCC agreements and principles,responsibility,equity,"15 •  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.
",egalitarian,new UNFCCC policy,responsibility,equity,1
16,"•  By contrast, an agreement based on 1992 categories that are unchangingwill not work.",libertarian,UNFCCC agreements and principles,not indicated,not indicated,"16 •  By contrast, an agreement based on 1992 categories that are unchangingwill not work.
",not evaluated,not evaluated,not evaluated,not evaluated,1
17,There are options here.,not evaluated,not evaluated,not evaluated,not evaluated,"17 There are options here.
",not evaluated,not evaluated,not evaluated,not evaluated,1
18,"If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.",general normative statement,new UNFCCC policy,responsibility,equity,"18 If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.
",egalitarian,new UNFCCC policy,responsibility,equity,1
19,"Alternatively, they can remain unchanged if they are notoperational.",not evaluated,not evaluated,not evaluated,not evaluated,"19 Alternatively, they can remain unchanged if they are notoperational.
",not evaluated,not evaluated,not evaluated,not evaluated,1
20,But they cannot be both operational and unchanging.,not evaluated,not evaluated,not evaluated,not evaluated,"20 But they cannot be both operational and unchanging.
",not evaluated,not evaluated,not evaluated,not evaluated,1
21,"•  Our meeting here in Warsaw can help build momentum towards Limaand Paris, especially if we are willing to leave ideology at the door andremain committed to the Durban mandate.",not evaluated,not evaluated,not evaluated,not evaluated,"21 •  Our meeting here in Warsaw can help build momentum towards Limaand Paris, especially if we are willing to leave ideology at the door andremain committed to the Durban mandate.
",general normative statement,cooperation,not indicated,not indicated,1
22,"•  And as we work overtime in the UNFCCC, we must also expand thefield of international cooperation to include complementary initiativesthat can make tangible progress right now to address the key drivers ofgreenhouse gas emissions.",not evaluated,not evaluated,not evaluated,not evaluated,"22 •  And as we work overtime in the UNFCCC, we must also expand thefield of international cooperation to include complementary initiativesthat can make tangible progress right now to address the key drivers ofgreenhouse gas emissions.
",utilitarian,cooperation,not indicated,not indicated,1
23,"Thats why we have been pushing hard,together with partners including the EU, Mexico, Canada and islandstates, for practical action through the Montreal Protocol to phase downhydrofluorocarbons.",not evaluated,not evaluated,not evaluated,not evaluated,"23 Thats why we have been pushing hard,together with partners including the EU, Mexico, Canada and islandstates, for practical action through the Montreal Protocol to phase downhydrofluorocarbons.
",utilitarian,mitigation,not indicated,not indicated,1
24,This alone has the potential to avoid some 90gigatons of emissions by 2050.,not evaluated,not evaluated,not evaluated,not evaluated,"24 This alone has the potential to avoid some 90gigatons of emissions by 2050.
",not evaluated,not evaluated,not evaluated,not evaluated,1
25,"•  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.",egalitarian,cooperation,responsibility,not indicated,"25 •  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.
",egalitarian,cooperation,responsibility,equality,1
26,"Mr. President, Excellencies, distinguished colleagues, ladies and gentleman,I wish to extend Micronesia’s sympathies to the people and the government of the Philippines for the loss of lives and property caused by Typhoon Hagupit.",not evaluated,not evaluated,not evaluated,not evaluated,"26 Mr. President, Excellencies, distinguished colleagues, ladies and gentleman,I wish to extend Micronesia’s sympathies to the people and the government of the Philippines for the loss of lives and property caused by Typhoon Hagupit.
",not evaluated,not evaluated,not evaluated,not evaluated,1
27,My delegation thanks the government and the people of Peru for their warm hospitality.,not evaluated,not evaluated,not evaluated,not evaluated,"27 My delegation thanks the government and the people of Peru for their warm hospitality.
",not evaluated,not evaluated,not evaluated,not evaluated,1
