,System_Fingerprint
0,fp_43dfabdef1
1,fp_43dfabdef1
2,fp_43dfabdef1
3,fp_43dfabdef1
4,fp_43dfabdef1
5,fp_43dfabdef1
6,fp_43dfabdef1
7,fp_43dfabdef1
8,fp_43dfabdef1
9,fp_43dfabdef1
10,fp_43dfabdef1
11,fp_43dfabdef1
12,fp_43dfabdef1
13,fp_43dfabdef1
14,fp_43dfabdef1
15,fp_43dfabdef1
16,fp_43dfabdef1
17,fp_43dfabdef1
18,fp_43dfabdef1
19,fp_43dfabdef1
20,fp_43dfabdef1
21,fp_43dfabdef1
22,fp_43dfabdef1
23,fp_43dfabdef1
24,fp_43dfabdef1
25,fp_43dfabdef1
26,fp_43dfabdef1
27,fp_43dfabdef1
28,fp_43dfabdef1
29,fp_43dfabdef1
30,fp_43dfabdef1
31,fp_43dfabdef1
32,fp_43dfabdef1
33,fp_43dfabdef1
34,fp_43dfabdef1
35,fp_43dfabdef1
36,fp_43dfabdef1
37,fp_43dfabdef1
38,fp_43dfabdef1
39,fp_43dfabdef1
40,fp_43dfabdef1
41,fp_43dfabdef1
42,fp_43dfabdef1
43,fp_43dfabdef1
44,fp_43dfabdef1
45,fp_43dfabdef1
46,fp_43dfabdef1
47,fp_43dfabdef1
48,fp_43dfabdef1
49,fp_43dfabdef1
50,fp_43dfabdef1
51,fp_43dfabdef1
52,fp_43dfabdef1
53,fp_43dfabdef1
54,fp_43dfabdef1
55,fp_43dfabdef1
56,fp_43dfabdef1
57,fp_43dfabdef1
58,fp_43dfabdef1
59,fp_43dfabdef1
60,fp_43dfabdef1
