,Missed batch
0,3644 - I1 - B6
1,3644 - I1 - B50
2,3441 - I1 - B15
3,3441 - I1 - B17
4,280 - I1 - B13
5,280 - I1 - B41
6,5991 - I1 - B15
7,5991 - I1 - B46
8,7917 - I1 - B5
9,7917 - I1 - B15
10,7917 - I1 - B55
11,3644 - I1 - B27
12,3644 - I2 - B9
13,3644 - I2 - B13
14,3644 - I2 - B18
15,3644 - I2 - B47
16,3644 - I2 - B59
17,3644 - I2 - B61
18,3644 - I3 - B12
19,3644 - I3 - B27
20,3441 - I1 - B31
21,3441 - I2 - B26
22,3441 - I2 - B39
23,3441 - I2 - B50
24,3441 - I3 - B26
25,3441 - I3 - B27
26,280 - I1 - B1
27,280 - I1 - B42
28,280 - I1 - B60
29,280 - I2 - B17
30,280 - I2 - B40
31,280 - I2 - B43
32,280 - I2 - B59
33,280 - I2 - B61
34,280 - I3 - B18
35,280 - I3 - B24
36,280 - I3 - B61
37,5991 - I1 - B13
38,5991 - I1 - B16
39,5991 - I1 - B37
40,5991 - I1 - B46
41,5991 - I2 - B11
42,5991 - I2 - B27
43,5991 - I2 - B35
44,5991 - I2 - B39
45,5991 - I2 - B41
46,5991 - I3 - B3
47,5991 - I3 - B11
48,5991 - I3 - B13
49,5991 - I3 - B31
50,7917 - I1 - B48
51,7917 - I1 - B54
52,7917 - I2 - B31
53,7917 - I2 - B46
54,7917 - I3 - B32
55,7917 - I3 - B38
56,3644 - I2 - B5
57,3644 - I2 - B15
58,3644 - I2 - B26
59,3644 - I2 - B43
60,3441 - I1 - B19
61,3441 - I2 - B15
62,3441 - I2 - B32
63,3441 - I3 - B10
64,3441 - I3 - B26
65,280 - I1 - B10
66,280 - I1 - B18
67,280 - I1 - B58
68,280 - I2 - B9
69,280 - I2 - B16
70,280 - I2 - B59
71,280 - I3 - B45
72,280 - I3 - B52
73,280 - I3 - B53
74,5991 - I1 - B10
75,5991 - I1 - B21
76,5991 - I2 - B32
77,5991 - I2 - B37
78,5991 - I2 - B44
79,5991 - I3 - B6
80,5991 - I3 - B52
81,5991 - I3 - B58
82,7917 - I1 - B25
83,7917 - I2 - B4
84,7917 - I2 - B7
85,7917 - I2 - B9
86,7917 - I2 - B40
87,7917 - I3 - B29
88,7917 - I3 - B36
89,7917 - I3 - B53
