,Missed batch
0,3644 - I1 - B6
1,3644 - I1 - B50
2,3441 - I1 - B15
3,3441 - I1 - B17
4,280 - I1 - B13
5,280 - I1 - B41
6,5991 - I1 - B15
7,5991 - I1 - B46
8,7917 - I1 - B5
9,7917 - I1 - B15
10,7917 - I1 - B55
11,3644 - I1 - B27
12,3644 - I2 - B9
13,3644 - I2 - B13
14,3644 - I2 - B18
15,3644 - I2 - B47
16,3644 - I2 - B59
17,3644 - I2 - B61
18,3644 - I3 - B12
19,3644 - I3 - B27
20,3441 - I1 - B31
21,3441 - I2 - B26
22,3441 - I2 - B39
23,3441 - I2 - B50
24,3441 - I3 - B26
25,3441 - I3 - B27
26,280 - I1 - B1
27,280 - I1 - B42
28,280 - I1 - B60
29,280 - I2 - B17
30,280 - I2 - B40
31,280 - I2 - B43
32,280 - I2 - B59
33,280 - I2 - B61
34,280 - I3 - B18
35,280 - I3 - B24
36,280 - I3 - B61
37,5991 - I1 - B13
38,5991 - I1 - B16
39,5991 - I1 - B37
40,5991 - I1 - B46
41,5991 - I2 - B11
42,5991 - I2 - B27
43,5991 - I2 - B35
44,5991 - I2 - B39
45,5991 - I2 - B41
46,5991 - I3 - B3
47,5991 - I3 - B11
48,5991 - I3 - B13
49,5991 - I3 - B31
50,7917 - I1 - B48
51,7917 - I1 - B54
52,7917 - I2 - B31
53,7917 - I2 - B46
54,7917 - I3 - B32
55,7917 - I3 - B38
