unique_id,text,PRINCIPLE_x,TOPIC_x,UNIT_x,SHAPE_x,llm_query,PRINCIPLE_y,TOPIC_y,UNIT_y,SHAPE_y,iteration
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,utilitarian,new UNFCCC policy,responsibility,equality,"3  Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .
",egalitarian,cooperation,responsibility,equality,1
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,egalitarian,new UNFCCC policy,responsibility,equity,"5 Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.
",general normative statement,new UNFCCC policy,not indicated,not indicated,1
44,"It should not only enable us to discuss global environmental challenges our world faces, but more importantly, it should pave way to key decisions that would put climate change action at the fore-front of all developmental processes and giving hope to our future generations.",utilitarian,new UNFCCC policy,not indicated,not indicated,"44 It should not only enable us to discuss global environmental challenges our world faces, but more importantly, it should pave way to key decisions that would put climate change action at the fore-front of all developmental processes and giving hope to our future generations.
",utilitarian,urgency,not indicated,not indicated,1
53,Global warming is a catastrophic problem that needs a global solution.,utilitarian,urgency,not indicated,not indicated,"53 Global warming is a catastrophic problem that needs a global solution.
",utilitarian,urgency,not indicated,not indicated,1
54,"Therefore, the multilateralism approach remains the fundamental approach in fighting climate change.",general normative statement,new UNFCCC policy,not indicated,not indicated,"54 Therefore, the multilateralism approach remains the fundamental approach in fighting climate change.
",general normative statement,cooperation,not indicated,not indicated,1
55,"In this view, we urge developed country parties to respect and adhere to the principles and provisions of the UNFCCC.",utilitarian,UNFCCC agreements and principles,responsibility,proportional to commitment,"55 In this view, we urge developed country parties to respect and adhere to the principles and provisions of the UNFCCC.
",egalitarian,UNFCCC agreements and principles,responsibility,proportional to commitment,1
56,"We also call on Annex-1 Parties to the Convention to avoid procrastination and urgently implement the commitments made so far, in line scientific findings of the IPCC.",utilitarian,UNFCCC agreements and principles,responsibility,proportional to commitment,"56 We also call on Annex-1 Parties to the Convention to avoid procrastination and urgently implement the commitments made so far, in line scientific findings of the IPCC.
",egalitarian,UNFCCC agreements and principles,responsibility,proportional to commitment,1
58,"As a country committed to address the adverse effects of climate change, Namibia is ready to increase its mitigation efforts provided that sufficient financial and technical support is provided.",sufficientarian,mitigation,financial and technological resources,needs based,"58 As a country committed to address the adverse effects of climate change, Namibia is ready to increase its mitigation efforts provided that sufficient financial and technical support is provided.
",sufficientarian,mitigation,financial and technological resources,needs based,1
60,This Platform should not be misinterpreted to fit the interests of some.,general normative statement,UNFCCC agreements and principles,not indicated,not indicated,"60 This Platform should not be misinterpreted to fit the interests of some.
",general normative statement,other,not indicated,not indicated,1
62,"In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.",egalitarian,UNFCCC agreements and principles,responsibility,proportional to contribution,"62 In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.
",egalitarian,new UNFCCC policy,not indicated,equity,1
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,prioritarian,adaptation and mitigation,financial resources,priority to worst off,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
",egalitarian,financial mechanisms,financial resources,equity,1
